long hide fr oriented + U,U2 R U2 R' U2 R U' R',R U R' U R U' R' U2 R U' R'
long hide fr misoriented,Dw R' U2 R U2 R' U R,U' R U' R' Rw U' R' U R U Rw'
long hide fr misoriented + U',R U' R' Rw U' R' U R U Rw',""
long hide fr misoriented + U2,U R U' R' Rw U' R' U R U Rw',""
long hide fr misoriented + U,R U R' U Rw U' R' U R U Rw',y' R' U2 R U2 R' U R
long hide fl oriented,L' U' L U' L' U L U' L' U L,""
long hide fl oriented + U',L' U2 L U2 L' U L,""
long hide fl oriented + U2,U' L' U2 L U2 L' U L,""
long hide fl oriented + U,L' U' L U' L' U L U2 L' U L,""
long hide fl misoriented,U L' U L Lw' U L U' L' U' Lw,U' L' U' L U' Lw' U L U' L' U' Lw
long hide fl misoriented + U',L' U L Lw' U L U' L' U' Lw,""
long hide fl misoriented + U2,U' L' U L Lw' U L U' L' U' Lw,""
long hide fl misoriented + U,L' U' L U' Lw' U L U' L' U' Lw,y' R U2 R' U2 R U' R'
long hide br oriented,U R' U2 R U2 R' U R,""
long hide br oriented + U',U2 R' U2 R U2 R' U R,""
long hide br oriented + U2,U' R' U2 R U2 R' U R,""
long hide br oriented + U,R' U2 R U2 R' U R,""
long hide br misoriented,U R' U R Rw' U R U' R' U' Rw,"Rw U2 R2 U' R2 U' Rw',y R U R' U R U' R' U R U' R'"
long hide br misoriented + U',y R U2 R' U2 R U' R',R' U' R U' Rw' U R U' R' U' Rw
long hide br misoriented + U2,U' R' U R Rw' U R U' R' U' Rw,""
long hide br misoriented + U,R' U R Rw' U R U' R' U' Rw,""
long hide bl oriented,L U L' U L U' L' U L U' L',""
long hide bl oriented + U',L U L' U L U' L' U2 L U' L',""
long hide bl oriented + U2,L U L' U' L U' L' U L U L',U L U2 L' U2 L U' L'
long hide bl oriented + U,L U2 L' U2 L U' L',""
long hide bl misoriented,Dw L' U2 L U2 L' U L,""
long hide bl misoriented + U',y R' U2 R U2 R' U R,y' L' U2 L U2 L' U L
long hide bl misoriented + U2,y U' R' U2 R U2 R' U R,""
long hide bl misoriented + U,L U' L' Lw U' L' U L U Lw',""
three mover fr misoriented,y' R' U' R,F' U' F
three mover fr misoriented + U',Dw R' U' R,""
three mover fr misoriented + U2,Dw U R' U' R,U R' F R U R U' R2 F' R
three mover fr misoriented + U,U' F' U' F,Rw' R2 U' R' U M'
three mover fr oriented,R U R',""
three mover fr oriented + U',U R U R',""
three mover fr oriented + U2,U2 R U R',""
three mover fr oriented + U,U' R U R',""
three mover fl misoriented,y L U L',y' R U R'
three mover fl misoriented + U',y U' L U L',Dw' L U L'
three mover fl misoriented + U2,Dw' U' L U L',Dw U R U R'
